x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
4.278801843317992848e+00,-4.899251152073734517e+01,3.956609208549277668e-01
5.278801843317992848e+00,-4.899251152073734517e+01,3.950370131615539293e-01
6.278801843317992848e+00,-4.899251152073734517e+01,3.940939349488612464e-01
7.278801843317992848e+00,-4.899251152073734517e+01,3.941262320478240433e-01
8.278801843317992848e+00,-4.899251152073734517e+01,3.933955743961328189e-01
9.278801843317992848e+00,-4.899251152073734517e+01,3.941285875189848298e-01
1.027880184331799285e+01,-4.899251152073734517e+01,3.938760239167788946e-01
1.127880184331799285e+01,-4.899251152073734517e+01,3.939822292765371436e-01
1.227880184331799285e+01,-4.899251152073734517e+01,3.913888295617971025e-01
1.327880184331799285e+01,-4.899251152073734517e+01,3.901116938645885490e-01
1.427880184331799285e+01,-4.899251152073734517e+01,3.892870364096192581e-01
1.527880184331799285e+01,-4.899251152073734517e+01,3.887119725109844381e-01
1.627880184331799285e+01,-4.899251152073734517e+01,3.886464308759753905e-01
1.727880184331799285e+01,-4.899251152073734517e+01,3.884634800833004498e-01
1.827880184331799285e+01,-4.899251152073734517e+01,3.881522044514724712e-01
1.927880184331799285e+01,-4.899251152073734517e+01,3.884387835848688297e-01
2.027880184331799285e+01,-4.899251152073734517e+01,3.867677131713698202e-01
2.127880184331799285e+01,-4.899251152073734517e+01,3.852850299127035250e-01
2.227880184331799285e+01,-4.899251152073734517e+01,3.848799451958164752e-01
2.327880184331799285e+01,-4.899251152073734517e+01,3.846950897131180547e-01
-2.672119815668200715e+01,-4.799251152073734517e+01,4.069744243224602265e-01
-2.572119815668200715e+01,-4.799251152073734517e+01,4.031266657415071286e-01
-2.472119815668200715e+01,-4.799251152073734517e+01,4.023923946859917500e-01
-2.372119815668200715e+01,-4.799251152073734517e+01,4.007395816290935109e-01
-2.272119815668200715e+01,-4.799251152073734517e+01,3.999449539664472475e-01
-2.172119815668200715e+01,-4.799251152073734517e+01,3.989156181636328569e-01
-2.072119815668200715e+01,-4.799251152073734517e+01,3.978521520609512585e-01
-1.972119815668200715e+01,-4.799251152073734517e+01,3.975817236792345000e-01
-1.872119815668200715e+01,-4.799251152073734517e+01,3.970177700821135858e-01
-1.772119815668200715e+01,-4.799251152073734517e+01,3.972788020013684473e-01
-1.672119815668200715e+01,-4.799251152073734517e+01,3.977032639053268426e-01
-1.572119815668200715e+01,-4.799251152073734517e+01,3.973841973262750571e-01
-1.472119815668200715e+01,-4.799251152073734517e+01,3.978729641153879726e-01
-1.372119815668200715e+01,-4.799251152073734517e+01,3.964891072810576844e-01
-1.272119815668200715e+01,-4.799251152073734517e+01,3.962053895203654363e-01
-1.172119815668200715e+01,-4.799251152073734517e+01,3.957556375010700123e-01
-1.072119815668200715e+01,-4.799251152073734517e+01,3.941008350890577994e-01
-9.721198156682007152e+00,-4.799251152073734517e+01,3.947534651403930006e-01
-8.721198156682007152e+00,-4.799251152073734517e+01,3.951219980058273684e-01
-7.721198156682007152e+00,-4.799251152073734517e+01,3.954839204365279137e-01
-6.721198156682007152e+00,-4.799251152073734517e+01,3.949076189882401167e-01
-5.721198156682007152e+00,-4.799251152073734517e+01,3.956305923999381413e-01
-4.721198156682007152e+00,-4.799251152073734517e+01,3.961492003152602415e-01
-3.721198156682007152e+00,-4.799251152073734517e+01,3.962410505801541305e-01
-2.721198156682007152e+00,-4.799251152073734517e+01,3.960574159876779632e-01
-1.721198156682007152e+00,-4.799251152073734517e+01,3.963695060820264793e-01
-7.211981566820071521e-01,-4.799251152073734517e+01,3.963749628846531259e-01
2.788018433179928479e-01,-4.799251152073734517e+01,3.962145441658102563e-01
1.278801843317992848e+00,-4.799251152073734517e+01,3.956887261889101559e-01
2.278801843317992848e+00,-4.799251152073734517e+01,3.957887889810316473e-01
3.278801843317992848e+00,-4.799251152073734517e+01,3.955651246601861182e-01
4.278801843317992848e+00,-4.799251152073734517e+01,3.953275245167806595e-01
5.278801843317992848e+00,-4.799251152073734517e+01,3.947299020260692792e-01
6.278801843317992848e+00,-4.799251152073734517e+01,3.942224422068516532e-01
7.278801843317992848e+00,-4.799251152073734517e+01,3.933881784573851625e-01
8.278801843317992848e+00,-4.799251152073734517e+01,3.932796382873071650e-01
9.278801843317992848e+00,-4.799251152073734517e+01,3.935994100503026338e-01
1.027880184331799285e+01,-4.799251152073734517e+01,3.909970965292934864e-01
1.127880184331799285e+01,-4.799251152073734517e+01,3.924720279609235085e-01
1.227880184331799285e+01,-4.799251152073734517e+01,3.907532298039519958e-01
1.327880184331799285e+01,-4.799251152073734517e+01,3.897011593849000199e-01
1.427880184331799285e+01,-4.799251152073734517e+01,3.890211655873629937e-01
1.527880184331799285e+01,-4.799251152073734517e+01,3.887625840309598679e-01
1.627880184331799285e+01,-4.799251152073734517e+01,3.879250027528775568e-01
1.727880184331799285e+01,-4.799251152073734517e+01,3.876719808877782114e-01
1.827880184331799285e+01,-4.799251152073734517e+01,3.877435639890576269e-01
